Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Justin Nagel,K,MIN,31,500000,2026,54,54,52,29,3,68,23,0,19,0,3,0,0,1,9,14,0,0,0,91,37,36,37,6,6,0,0,0,0,2,2,4,4,4,4,0,0,0,0,0,0,54,54,17,17,0,0,0,0
Luke Sesay,K,MEM,29,740000,2028,75,75,29,2,60,56,4,39,61,4,2,0,18,2,2,42,0,3,2,88,83,33,42,18,18,8,8,0,0,1,1,0,0,1,1,6,6,26,26,22,22,75,75,17,17,46,46,30,30
Mike Rose,K,KEN,35,500000,2026,68,68,37,0,35,35,11,2,12,0,10,24,1,0,0,0,0,10,0,88,63,18,37,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,10,10,14,14,9,9
Sean McAdams,K,DET,27,500000,2026,56,56,51,0,38,43,17,8,0,0,0,25,6,0,0,3,0,6,0,80,50,28,24,2,3,1,1,2,2,3,3,0,0,1,1,0,0,3,4,2,2,56,56,8,8,17,17,11,12
Dave Brown,K,WAS,31,500000,2025,66,66,28,34,13,56,14,30,23,38,9,30,14,12,35,24,0,1,0,79,66,28,48,11,11,6,6,5,5,10,10,9,9,2,2,1,1,0,0,1,1,66,66,17,17,3,3,7,7
Channing Madison,K,DEL,26,500000,2025,47,47,3,34,34,36,21,9,30,8,0,0,13,14,0,25,23,1,14,76,44,56,20,4,7,4,7,0,3,0,3,2,2,4,6,11,14,8,11,12,12,47,47,17,17,16,17,12,13
Ray Jacobs,K,DP,21,500000,2026,39,55,20,22,33,35,22,0,9,19,1,3,2,0,0,5,0,0,4,76,34,30,19,1,12,2,5,0,12,0,8,0,10,0,10,1,8,0,9,1,9,39,55,8,19,17,29,14,25
Keoni Brandon,K,UTA,26,500000,2029,63,63,13,22,26,24,14,11,0,4,0,0,0,4,11,13,25,0,0,74,64,33,35,0,0,0,1,0,2,0,0,0,0,0,1,6,8,0,1,5,5,63,63,14,14,8,8,5,7
Jack Dickerson,K,VB,22,500000,2028,53,68,24,33,34,17,34,5,22,22,2,0,0,0,19,26,0,0,0,74,52,34,20,9,17,5,11,0,9,1,5,6,14,4,14,5,11,9,18,9,19,53,68,9,17,18,25,16,26
Marshall Harper,K,POR,28,500000,2025,67,67,60,9,30,33,1,17,7,10,0,0,0,0,0,19,0,0,0,72,75,22,13,4,4,0,0,0,0,1,1,0,0,4,4,2,2,6,6,5,5,67,67,2,2,12,12,9,9
Jesse Hundley,K,SYD,22,500000,2025,50,64,34,4,33,19,12,28,5,3,16,7,6,2,0,27,0,13,0,71,53,27,26,4,12,3,9,0,7,0,4,0,5,0,10,0,6,9,19,7,14,50,64,9,18,13,21,8,16
Josh Smith,K,LON,28,500000,2025,47,47,40,22,47,43,21,24,4,16,0,0,0,1,0,16,0,0,0,71,49,56,55,8,8,6,6,0,0,1,1,3,3,6,6,7,7,11,11,11,11,47,47,40,40,30,30,23,23
Chad Schott,K,DP,22,500000,2026,37,48,12,17,3,24,4,2,1,4,0,1,2,0,0,4,0,5,0,71,35,35,7,0,8,0,4,0,9,0,6,0,7,0,9,0,7,0,7,0,6,37,48,5,11,0,7,0,7
Kevin Borden,K,LA,38,500000,2025,41,41,48,0,0,0,23,33,7,0,0,0,0,0,0,17,0,0,0,70,43,22,19,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,5,5,0,0,0,0
Taylor Patrick,K,PRO,26,500000,2025,59,59,65,6,57,67,22,23,0,16,3,0,22,0,8,23,0,6,0,69,63,32,16,11,11,12,13,8,8,11,12,4,5,8,10,9,9,18,18,16,16,59,59,7,10,45,48,33,34
Bruce Wood,K,PIT,35,500000,2028,64,64,30,0,7,10,21,19,29,18,9,0,0,6,0,22,0,0,15,69,70,43,27,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,15,15,0,0,0,0
Keith Evans,K,VAN,28,500000,2026,45,45,34,0,43,28,18,0,8,14,0,3,0,2,12,30,1,0,0,69,50,18,20,1,1,1,1,0,0,0,0,0,0,0,0,1,1,14,14,12,12,45,45,3,3,24,24,19,19
Bobby Sewell,K,DP,22,500000,2026,43,53,58,20,27,35,13,18,30,12,8,0,0,0,5,17,5,0,8,69,47,16,9,13,23,3,6,0,9,3,8,4,10,7,16,6,11,4,11,5,15,43,53,0,6,10,16,8,16
Torri Haugabrook,K,BUE,30,500000,2025,50,50,22,13,22,14,14,4,1,0,0,0,1,0,1,0,0,0,0,68,56,34,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,10,10,4,4,1,1
David Eubanks,K,DEN,37,500000,2025,50,50,46,0,0,9,37,0,0,8,0,0,0,0,0,9,0,0,0,68,56,34,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,2,2,0,0,0,0
Lloyd Rosario,K,IND,25,500000,2026,44,47,35,14,36,31,19,31,30,7,6,2,36,0,0,8,0,0,0,68,50,9,4,13,15,7,8,8,9,8,10,0,2,1,6,1,4,3,4,3,8,44,47,0,4,17,19,12,15
Garrett Smith,K,SF,25,500000,2025,31,32,39,22,17,48,25,11,14,0,0,0,7,1,0,20,5,7,6,68,29,37,9,5,6,0,2,0,2,0,0,0,3,3,4,2,4,1,1,1,5,31,32,6,9,0,1,0,4
Andrew Howard,K,DP,21,500000,2026,56,72,19,26,27,19,5,28,13,16,0,12,17,0,0,18,0,0,0,68,61,30,20,3,12,3,10,0,9,2,7,0,7,0,11,1,9,3,11,3,14,56,72,8,19,11,22,10,22
Cornelius Jackson,K,JKT,24,500000,2025,65,72,25,13,45,40,9,18,2,9,0,0,0,0,0,31,0,0,0,67,76,19,8,0,5,3,6,0,7,0,5,0,4,0,4,3,8,15,19,13,20,65,72,0,6,25,32,19,26
Quadree Pearson,K,NOL,33,500000,2025,70,70,13,0,7,0,10,3,14,14,0,11,0,0,0,2,0,0,16,67,88,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,8,8,0,0,0,0
Ryan Lane,K,MAD,24,500000,2027,64,74,33,25,31,13,23,28,21,0,1,0,0,0,4,1,0,0,0,66,73,33,22,10,16,1,1,0,5,0,5,2,5,3,10,2,6,0,2,0,5,64,74,10,15,12,19,7,12
Joe Montoya,K,SD,29,500000,2027,62,62,23,11,30,46,8,0,11,16,0,0,2,0,13,5,0,0,22,66,69,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,0,13,13,11,11
Josh Hennessy,K,CAI,25,500000,2027,51,57,44,18,18,56,17,33,15,9,7,5,2,6,0,9,5,0,8,66,59,34,7,10,12,0,0,0,5,0,3,0,1,3,6,1,2,0,4,0,4,51,57,5,9,2,6,1,6
Deric Switzer,P,QUE,25,500000,2026,42,45,23,4,46,35,8,3,23,26,0,13,0,8,0,18,3,0,0,66,8,30,85,2,6,3,7,0,2,0,1,0,1,0,2,1,2,11,12,9,10,17,18,42,45,32,38,25,27
Brandon Goodson,K,WPG,34,500000,2025,38,38,27,1,0,16,26,14,0,0,0,0,0,0,0,3,0,0,0,66,43,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,2,2,0,0,0,0
Cedric Streeter,K,TOR,24,500000,2025,26,30,18,27,31,76,22,31,36,24,0,3,0,0,0,19,0,0,9,66,24,36,37,13,20,2,6,0,3,0,4,0,4,2,9,3,7,5,8,5,10,26,30,17,22,16,20,15,21
Mike Storey,P,OAK,26,500000,2027,56,58,28,34,49,49,0,6,5,15,0,0,0,0,6,32,13,0,15,65,39,69,60,0,1,9,10,0,0,1,4,6,8,11,13,15,18,17,20,19,19,35,36,56,58,34,36,25,27
Frank Mathis,K,ROM,25,500000,2025,39,41,26,15,46,46,41,9,4,27,2,7,2,0,11,13,3,0,3,65,45,16,20,7,10,6,7,0,2,0,0,0,2,2,3,4,9,9,11,9,10,39,41,2,5,32,36,26,32
Darius Apke,K,BEI,25,500000,2026,38,40,20,4,55,45,18,34,14,20,3,0,2,4,0,20,14,3,0,65,42,29,36,8,11,5,8,0,3,0,4,0,1,0,2,7,11,15,18,15,19,38,40,14,16,43,49,33,36
Tyson Hurst,K,AUS,26,500000,2026,38,39,38,35,34,28,16,15,16,4,0,0,1,15,5,18,0,23,14,65,43,25,40,7,7,5,5,0,1,4,7,8,9,12,12,10,11,6,7,7,7,38,39,14,15,15,15,11,14
Jason Eaves,K,BOS,23,500000,2025,33,41,10,21,13,41,2,0,3,16,0,0,6,0,1,33,3,0,0,65,36,38,13,0,8,0,3,0,7,0,5,0,6,0,4,0,4,3,7,2,7,33,41,8,15,0,5,0,3
Keith Semeatu,K,BAL,33,500000,2025,32,32,18,7,25,3,0,5,20,8,0,0,0,0,0,10,0,0,4,64,35,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,8,8,5,5
Henry McCollough,K,FA,27,500000,2025,26,26,22,13,39,28,0,1,0,3,0,3,11,0,20,3,0,0,0,64,26,20,20,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,26,26,4,4,19,19,13,13
Matt Riley,K,FA,35,500000,2025,23,23,34,0,0,0,17,10,5,0,0,0,0,0,0,14,0,13,0,64,21,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,10,10,0,0,0,0
Cody Forbes,K,NYC,28,500000,2027,63,63,24,1,40,42,23,18,37,3,0,11,4,0,0,7,3,0,0,63,75,47,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,63,63,9,9,19,19,14,14
Kenny Robinson,K,MIL,31,500000,2026,64,64,41,0,47,30,26,0,14,12,0,0,2,2,0,25,0,1,0,63,76,52,34,5,5,2,2,0,0,0,0,0,0,0,0,2,2,14,14,12,12,64,64,23,23,29,29,21,21
