Name,Pos,Team,Age,Contract,Exp,Ovr,Pot,Hgt,Str,Spd,End,ThV,ThP,ThA,BSc,Elu,RtR,Hnd,RBk,PBk,PCv,Tck,PRs,RnS,KPw,KAc,PPw,PAc,OvrQB,PotQB,OvrRB,PotRB,OvrWR,PotWR,OvrTE,PotTE,OvrOL,PotOL,OvrDL,PotDL,OvrLB,PotLB,OvrCB,PotCB,OvrS,PotS,OvrK,PotK,OvrP,PotP,OvrKR,PotKR,OvrPR,PotPR
Kobe Carter,DL,MIL,27,20590000,2029,88,88,83,95,46,57,70,8,8,24,0,0,0,20,0,20,47,85,63,21,7,8,2,34,34,24,24,4,5,25,25,45,45,88,88,84,84,14,14,27,27,0,0,0,0,34,34,31,31
Kregg Barnett,OL,LV,25,17950000,2029,87,95,48,94,48,62,42,25,41,28,4,19,16,94,89,16,17,21,13,20,19,7,20,32,37,33,39,10,14,52,57,87,95,40,43,39,41,12,16,19,21,4,7,2,4,36,39,33,38
Branden Elder,QB,MIN,27,30000000,2029,87,87,81,25,96,37,46,83,62,67,55,81,32,13,1,43,4,5,22,6,3,13,14,87,87,69,69,45,46,41,41,17,17,26,26,31,31,55,56,51,51,1,1,1,1,51,52,51,51
Kevin Johnson,WR,HOU,24,9730000,2029,87,98,46,21,54,86,27,6,16,43,65,92,99,4,17,21,18,8,3,7,7,7,6,17,21,57,65,87,98,58,70,8,13,12,16,15,22,16,19,18,22,3,5,3,7,43,49,39,47
Martell Falgout,QB,LAE,31,22790000,2029,86,86,58,20,57,61,75,70,85,48,36,11,2,22,24,45,2,9,14,2,3,18,5,86,86,23,23,5,5,11,11,14,14,14,14,15,15,27,27,24,24,2,2,2,2,27,27,25,25
Quincy Wood,WR,PHI,29,14980000,2025,86,86,44,39,76,70,33,6,5,44,29,94,96,13,42,42,2,7,4,8,15,18,11,16,16,60,60,86,86,79,79,20,20,17,17,21,21,38,38,36,36,0,0,0,0,87,87,79,79
Henry Smith,DL,LAE,28,13780000,2026,86,86,68,92,43,57,37,18,48,34,2,27,2,2,17,4,6,90,100,15,4,6,7,37,37,24,24,8,8,26,26,38,38,86,86,53,53,6,6,12,12,2,2,2,2,30,30,30,30
George Jordan,DL,CIN,27,15260000,2026,86,86,66,87,52,61,21,21,2,2,16,14,1,7,4,21,28,83,97,9,7,7,19,18,18,27,27,4,4,22,23,33,33,86,86,70,70,16,17,24,25,1,1,1,1,33,33,25,25
Ikenna Battle,WR,PIT,24,10360000,2025,86,95,47,10,60,42,31,8,6,40,44,87,100,9,25,22,2,2,3,16,6,6,10,14,18,47,55,86,95,57,69,7,11,7,14,9,14,19,22,17,23,2,4,2,8,53,58,46,53
Tre Nwoko,WR,CHA,30,12710000,2029,86,86,56,30,45,30,1,3,28,70,53,83,94,6,1,30,1,22,1,25,3,6,13,17,17,53,53,86,86,57,57,9,9,14,14,13,13,16,16,15,15,1,1,1,1,41,41,46,46
